model,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.8035220994475138,0.7642036124794745,0.7833698030634574,0.8707782931905146,0.8724453077475252
Random Forest,0.8261802575107297,0.632183908045977,0.7162790697674419,0.8373671988939334,0.8430863114252354
XGBoost,0.8111455108359134,0.7313628899835797,0.7691909161557725,0.8624878942870016,0.8700748740088052
MLP (sklearn),0.8545208655332303,0.726272577996716,0.7851943902006036,0.8806642263145893,0.8908773473269358
Two-Tower MLP,0.8557906458797327,0.7571428571428571,0.803450078410873,0.8949667800774266,0.9011270553554647
